Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_1206_3216Metric",57.375000,-87.500000,0.000000,top
"C2","0.1uF","C_1206_3216Metric",55.175000,-69.300000,180.000000,top
"C3","2.2uF","C_1206_3216Metric",41.400000,-68.180000,90.000000,top
"C4","0.1uF","C_1206_3216Metric",42.725000,-71.905000,180.000000,top
"C5","0.01uF","C_1206_3216Metric",43.700000,-68.390000,90.000000,top
"C8","100uF","C_1206_3216Metric",53.737500,-88.700000,90.000000,top
"C9","1uF","C_1206_3216Metric",52.100000,-77.700000,180.000000,top
"C10","22uF","C_1206_3216Metric",47.200000,-67.600000,0.000000,top
"C11","4.7uF","C_1206_3216Metric",47.925000,-93.500000,0.000000,top
"C12","22uF","C_1206_3216Metric",47.350000,-91.100000,0.000000,top
"C13",".01uF","C_1206_3216Metric",50.000000,-97.010000,90.000000,top
"C14","4.7uF","C_1206_3216Metric",57.350000,-90.000000,180.000000,top
"C15","0.1uF","C_1206_3216Metric",57.350000,-92.500000,180.000000,top
"D3","LED_G","D_1206_3216Metric",55.200000,-66.770000,0.000000,top
"D4","LED_R","D_1206_3216Metric",51.700000,-69.370000,90.000000,top
"D5","D_Schottky","D_SOD-123",51.900000,-84.650000,180.000000,top
"D7","D_Schottky","D_SOD-123",51.900000,-82.300000,180.000000,top
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4110",43.645000,-102.800000,-90.000000,top
"J2","JST_BATT","JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal_2",48.250000,-76.050000,-90.000000,top
"J4","JST_SOL","JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal_2",48.250000,-84.450000,-90.000000,top
"L2","22uH","L_1206_3216Metric",52.600000,-92.200000,0.000000,top
"L3","4.7uH","L_1206_3216Metric",57.750000,-96.260000,-90.000000,top
"MT1","ICM-42670-P","XDCR_ICM-42670-P",47.350000,-71.262500,-90.000000,top
"R4","5K1","R_1206_3216Metric",50.712500,-104.410000,0.000000,top
"R5","15R","R_1206_3216Metric",51.600000,-75.100000,0.000000,top
"R6","10K","R_1206_3216Metric",51.900000,-80.000000,180.000000,top
"R7","68R","R_1206_3216Metric",51.600000,-72.800000,180.000000,top
"R8","1K","R_1206_3216Metric",58.600000,-68.132500,90.000000,top
"R9","5K1","R_1206_3216Metric",51.500000,-106.810000,0.000000,top
"ROUT1","4M7","R_1206_3216Metric",58.050000,-105.637500,90.000000,top
"ROUT2","8M2","R_1206_3216Metric",57.800000,-101.062500,-90.000000,top
"ROV1","5M1","R_1206_3216Metric",55.250000,-104.287500,-90.000000,top
"ROV2","8M2","R_1206_3216Metric",54.250000,-100.825000,180.000000,top
"SW1","SW_Push","SW_Push_SPST_NO_Alps_SKRK",57.000000,-72.200000,0.000000,top
"SW2","SW_PWR","switch-MSK-12C02-smd",59.350000,-78.950000,180.000000,top
"U1","ESP32-S3-WROOM-1-N4","XCVR_ESP32-S3-WROOM-1-N4",50.000000,-51.710000,0.000000,top
"U2","TPD4E05U06DQA","USON-10_2.5x1.0mm_P0.5mm",49.315000,-101.600000,180.000000,top
"U7","BQ25570","QFN-20-1EP_3.5x3.5mm_P0.5mm_EP2x2mm",53.881250,-97.300000,0.000000,top
